agents_in_the_system,lt_difference,lower_bound,upper_bound,verifica
0,4429.770965504169,4357.111878878988,4502.43005212935,x
1,1756.5064261999673,1734.4524863217541,1778.5603660781806,x
2,1369.9871082062848,1350.7981490789473,1389.1760673336223,x
3,955.7547311327198,935.0706435905443,976.4388186748954,x
4,595.6547256517548,575.5008187781651,615.8086325253445,x
5,355.0994408856767,339.4298398708745,370.7690419004789,x
6,208.55871707197122,194.37058486549918,222.74684927844325,x
7,126.58771407261017,113.88140286557618,139.29402527964416,x
8,76.43656704841653,65.36704245478023,87.50609164205284,x
9,47.83740442370927,38.35287921135826,57.32192963606029,x
10,30.444115350332787,23.330945840706658,37.55728485995891,x
11,17.685754268018066,12.897937938262153,22.47357059777398,x
12,10.745134840767802,7.2988389547259,14.191430726809704,x
13,6.888285357479778,3.962566632950856,9.814004082008701,x
14,6.53909151152148,3.784734717446493,9.293448305596467,x
15,6.667879303098252,3.518402708698259,9.817355897498246,x
16,7.911468261102901,3.9893537812159865,11.833582740989815,x
17,3.450090747246967,0.47830262593735284,6.421878868556581,x
18,1.9789311458749428,-0.3679125951795641,4.32577488692945,x
19,1.5162831592342627,1.0641864856384382,1.9683798328300872,x
20,0.3239898474630536,,,
