agents_in_the_system,lt_difference
0,8042.24361333811
1,945.8194875094603
2,393.5165029752471
3,181.31812212916617
4,83.36789792275003
5,41.496402447292255
6,24.40330085600983
7,16.309101014361115
8,13.242209308020515
9,11.677388728113689
10,11.932212501985827
11,11.298180639572447
12,10.134397261295744
13,9.05569147290359
14,8.198735713491835
15,7.241985397472856
16,8.676230463232347
17,9.131007171000693
18,9.537786729007475
19,9.442446367654359
20,8.454950263813348
21,7.703512623133417
22,7.613197581975818
23,6.6241644081874185
24,4.506830499091421
25,4.8379784695207775
26,4.891191322349314
27,5.613066459840667
28,6.437217933870514
29,6.19774483139237
30,5.886776816813409
31,5.224663730400451
32,5.171458085869105
33,5.7381279776942336
34,6.285760355205895
35,5.869493125966841
36,4.926615864468232
37,3.868393345132745
38,3.0174614877065267
39,2.149136351344225
40,1.515197179000154
41,1.408578851439529
42,1.9979656488089574
43,1.8161021751630528
44,1.4074630391238827
45,1.4192932069474011
46,2.145452592212706
47,3.0684138709141564
48,2.888880216792927
49,1.9433365782967371
50,1.5662557105674182
51,1.8468050733135897
52,1.3054678449028643
53,0.5263629382536124
54,0.2999737178580517
55,0.6459904886382901
56,1.662428757058592
57,1.1497184991966378
58,1.1676511563907752
59,0.7412267437532023
60,0.3182104059321773
61,0.30689282269065643
62,0.20373030206235399
63,0.11210704302789054
64,0.0038086035684727904
